                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68414,                0.77566,                      1,                0.54797,              0.0002142,              0.0002142,              0.0002142
                      2,                0.47827,                0.86635,                      1,                0.45513,             0.00042692,             0.00042692,             0.00042692
                      3,                0.31549,                0.90453,                      1,                0.43788,             0.00063087,             0.00063087,             0.00063087
                      4,                0.30412,                0.89499,                      1,                0.43365,             0.00067159,             0.00067159,             0.00067159
                      5,                0.25673,                0.90215,                      1,                0.41415,             0.00067159,             0.00067159,             0.00067159
                      6,                0.23879,                0.88067,                      1,                0.41961,             0.00065745,             0.00065745,             0.00065745
                      7,                0.26057,                0.87351,                      1,                0.43441,             0.00064331,             0.00064331,             0.00064331
                      8,                0.21138,                0.88783,                      1,                 0.4115,             0.00062918,             0.00062918,             0.00062918
                      9,                0.20587,                0.89737,                      1,                0.41007,             0.00061504,             0.00061504,             0.00061504
                     10,                0.22823,                 0.8759,                      1,                0.41084,              0.0006009,              0.0006009,              0.0006009
                     11,                0.18821,                0.88305,                      1,                0.42065,             0.00058677,             0.00058677,             0.00058677
                     12,                0.19489,                0.89976,                      1,                0.40217,             0.00057263,             0.00057263,             0.00057263
                     13,                0.20356,                0.90215,                      1,                0.40916,             0.00055849,             0.00055849,             0.00055849
                     14,                0.20658,                0.89021,                      1,                0.40953,             0.00054435,             0.00054435,             0.00054435
                     15,                0.19087,                0.89499,                      1,                0.40084,             0.00053022,             0.00053022,             0.00053022
                     16,                0.16061,                0.88544,                      1,                0.39954,             0.00051608,             0.00051608,             0.00051608
                     17,                 0.1397,                 0.8926,                      1,                0.40473,             0.00050194,             0.00050194,             0.00050194
                     18,                0.17413,                0.88544,                      1,                 0.4258,              0.0004878,              0.0004878,              0.0004878
                     19,                0.13458,                0.89021,                      1,                0.41005,             0.00047367,             0.00047367,             0.00047367
                     20,                0.16439,                 0.8926,                      1,                0.39908,             0.00045953,             0.00045953,             0.00045953
                     21,                0.16566,                 0.8926,                      1,                0.39798,             0.00044539,             0.00044539,             0.00044539
                     22,                0.12127,                0.87112,                      1,                0.44706,             0.00043126,             0.00043126,             0.00043126
                     23,                0.13661,                0.89499,                      1,                0.39975,             0.00041712,             0.00041712,             0.00041712
                     24,                0.10911,                0.89976,                      1,                0.39115,             0.00040298,             0.00040298,             0.00040298
                     25,                0.14682,                0.89976,                      1,                0.39621,             0.00038884,             0.00038884,             0.00038884
                     26,                0.14863,                0.89021,                      1,                0.39807,             0.00037471,             0.00037471,             0.00037471
                     27,                0.15053,                 0.8926,                      1,                  0.395,             0.00036057,             0.00036057,             0.00036057
                     28,                0.10269,                0.90692,                      1,                0.40278,             0.00034643,             0.00034643,             0.00034643
                     29,                0.14557,                0.90931,                      1,                0.39406,              0.0003323,              0.0003323,              0.0003323
                     30,                0.10087,                0.92124,                      1,                0.38381,             0.00031816,             0.00031816,             0.00031816
                     31,                0.10518,                0.89021,                      1,                0.38888,             0.00030402,             0.00030402,             0.00030402
                     32,                 0.1108,                0.91885,                      1,                0.38079,             0.00028988,             0.00028988,             0.00028988
                     33,                 0.0945,                0.92601,                      1,                 0.3814,             0.00027575,             0.00027575,             0.00027575
                     34,                0.13062,                0.92124,                      1,                0.39287,             0.00026161,             0.00026161,             0.00026161
                     35,                0.09108,                0.91647,                      1,                0.39061,             0.00024747,             0.00024747,             0.00024747
                     36,                0.08946,                0.91885,                      1,                0.40841,             0.00023334,             0.00023334,             0.00023334
                     37,                 0.1191,                0.92363,                      1,                 0.3874,              0.0002192,              0.0002192,              0.0002192
                     38,                0.10037,                0.91885,                      1,                0.40482,             0.00020506,             0.00020506,             0.00020506
                     39,                  0.071,                0.92124,                      1,                0.38293,             0.00019092,             0.00019092,             0.00019092
                     40,                0.08288,                0.92601,                      1,                0.38056,             0.00017679,             0.00017679,             0.00017679
                     41,                0.09344,                 0.9284,                      1,                0.40056,             0.00016265,             0.00016265,             0.00016265
                     42,                0.10643,                0.93079,                      1,                0.38046,             0.00014851,             0.00014851,             0.00014851
                     43,                0.10892,                0.92601,                      1,                0.38166,             0.00013437,             0.00013437,             0.00013437
                     44,                0.07797,                0.93079,                      1,                0.37812,             0.00012024,             0.00012024,             0.00012024
                     45,                0.09693,                0.92363,                      1,                0.37544,              0.0001061,              0.0001061,              0.0001061
                     46,                0.09222,                0.92601,                      1,                0.39847,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.07743,                 0.9284,                      1,                0.39936,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.08441,                 0.9284,                      1,                0.37957,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.07355,                0.92601,                      1,                0.38217,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.08708,                 0.9284,                      1,                0.37905,             3.5414e-05,             3.5414e-05,             3.5414e-05
